Nodo,BESS,Eolica,Gas CA,Gas CC,Solar
CL_NORTE,0.0,0.0,0.0,0.0,0.0
CL_CENTRO,0.0,0.0,0.0,0.0,0.0
CL_SUR,0.0,0.0,0.0,0.0,0.0
PE_NORTE,0.0,0.0,0.0,0.0,0.0
PE_SUR,0.0,0.0,0.0,0.0,0.0
BR_NORTE,0.0,0.0,0.0,0.0,0.0
BR_NORESTE,0.0,0.0,0.0,0.0,0.0
BR_FC,0.0,0.0,0.0,0.0,0.0
BR_SUDESTE/CO,0.0,0.0,0.0,0.0,0.0
BR_SUR,0.0,0.0,0.0,0.0,0.0
CO_NORTE,0.0,0.0,0.0,0.0,0.0
CO_SUR,0.0,0.0,0.0,0.0,0.0
BO_ESTE,0.0,0.0,0.0,0.0,0.0
BO_NOROESTE,0.0,0.0,0.0,0.0,0.0
BO_SUR,0.0,0.0,0.0,0.0,0.0
PY_NORTE,0.0,0.0,0.0,0.0,0.0
PY_SUR,0.0,0.0,0.0,0.0,0.0
PY_CENTRO/OESTE,0.0,0.0,0.0,0.0,0.0
PY_ESTE,0.0,0.0,0.0,0.0,0.0
NOA_CEN_LIT,0.0,0.0,0.0,0.0,0.0
COM_CUY,0.0,0.0,0.0,0.0,0.0
MERCADO,0.0,0.0,0.0,0.0,0.0
URUGUAY,0.0,0.0,0.0,0.0,0.0
EC_NORTE,0.0,0.0,0.0,0.0,0.0
EC_SUR,0.0,0.0,0.0,0.0,0.0
GU_NORTE,0.0,0.0,0.0,0.0,0.0
GU_SUR,0.0,0.0,0.0,0.0,0.0
GU_ESTE,0.0,0.0,0.0,0.0,0.0
GU_OESTE,0.0,0.0,0.0,0.0,0.0
ES_OCCIDENTAL,0.0,0.0,0.0,0.0,0.0
ES_ORIENTAL,0.0,0.0,0.0,0.0,0.0
HN_NORTE,0.0,0.0,0.0,0.0,0.0
HN_SUR,0.0,0.0,0.0,0.0,0.0
NI_NORTE,0.0,0.0,0.0,0.0,0.0
NI_SUR,0.0,0.0,0.0,0.0,0.0
CR_NORTE,0.0,0.0,0.0,0.0,0.0
CR_SUR,0.0,0.0,0.0,0.0,0.0
PA_NORTE,0.0,0.0,0.0,0.0,0.0
PA_SUR,0.0,0.0,0.0,0.0,0.0
VZ_NORTE,0.0,0.0,0.0,0.0,0.0
VZ_SUR,0.0,0.0,0.0,0.0,0.0
MX_SUR,0.0,0.0,0.0,0.0,0.0
BELICE,0.0,0.0,0.0,0.0,0.0
